Date,USA_ADP,USA_BC,USA_BI,USA_BOT,USA_CCPI,USA_CCR,USA_CF,USA_CFNAI,USA_CHJC,USA_CINF,USA_CP,USA_CPI,USA_CPIC,USA_CPICM,USA_CU,USA_DFMI,USA_DUR,USA_DURET,USA_EARN,USA_EMPST,USA_EXPX,USA_EXVOL,USA_FBI,USA_FRET,USA_GBVL,USA_GPAY,USA_HI,USA_HRS,USA_IMPX,USA_IMVOL,USA_IP,USA_IPMOM,USA_JBO,USA_LEI,USA_LFPR,USA_MP,USA_MPAY,USA_NAHB,USA_NFIB,USA_NFP,USA_NLTTF,USA_NMPMI,USA_NPP,USA_PFED,USA_PHS,USA_PP,USA_PPIC,USA_RFMI,USA_RSEA,USA_RSM,USA_RSY,USA_TVS,USA_UNR,USA_WINV
20010101,,48.5000,0.6000,-33224.0000,183.1000,15.6000,59069.0000,-0.4600,44200.0000,2.6000,45.3000,174.2000,3.4000,0.2000,80.3794,,1.7000,-0.9000,,,100.3000,91511.0000,-2989.0000,-1.8000,-23690.0000,17.0000,0.6000,,101.2000,124734.0000,2.1000,0.0000,,134.9338,66.9000,1.7000,-15.0000,57.0000,99.6000,228.0000,43865.0000,56.1000,211.0000,-7.8000,,,3.7800,-6.0000,0.2000,-0.4000,4.2000,16.3300,3.9000,0.7000
20010131,,43.9000,0.6000,-32607.0000,183.3000,16.4000,54092.0000,-0.4400,133700.0000,2.6000,42.5000,174.6000,3.4000,0.2000,79.9019,,-0.4000,-0.5000,,,100.1000,91388.0000,-14106.0000,-0.2000,32666.0000,44.0000,0.6000,,100.5000,123996.0000,1.1000,-0.3000,,135.0185,67.0000,0.5000,-21.0000,52.0000,96.7000,142.0000,45505.0000,54.0000,98.0000,-36.6000,,,3.5600,-11.0000,0.4000,-0.1000,2.2000,15.6500,3.9000,0.7000
20010228,,42.3000,-0.1000,-33454.0000,183.9000,16.0000,-2706.0000,-1.1700,142208.0000,2.6000,41.6000,175.6000,3.7000,0.6000,79.1132,,-6.2000,-2.7000,,,100.3000,90431.0000,-9789.0000,0.1000,76379.0000,31.0000,0.6000,,100.5000,123885.0000,0.4000,-0.7000,4736.0000,135.0731,67.2000,-0.2000,-77.0000,58.0000,96.5000,-25.0000,25121.0000,51.6000,-56.0000,-29.4000,,,4.8300,-12.0000,0.4000,1.2000,4.0000,17.3200,4.2000,0.0000
20010402,,42.1000,0.2000,-34817.0000,184.4000,12.9000,43204.0000,-0.9400,101731.0000,2.7000,35.1000,176.0000,3.5000,0.2000,78.3811,,1.8000,-0.2000,,,100.2000,90331.0000,-8627.0000,-1.5000,-48168.0000,71.0000,0.7000,,99.9000,125148.0000,-0.5000,-0.6000,5385.0000,135.1173,67.1000,-1.0000,-76.0000,60.0000,98.4000,72.0000,37367.0000,51.3000,1.0000,-20.8000,,,3.9700,-30.0000,-0.2000,0.0000,2.5000,17.5000,4.2000,-0.1000
20010430,,43.1000,-0.6000,-29349.0000,184.7000,18.9000,69155.0000,-1.0700,162867.0000,2.7000,39.4000,176.1000,2.9000,0.1000,77.9511,,1.1000,-4.4000,,,100.0000,90181.0000,7214.0000,0.0000,-50662.0000,39.0000,0.7000,,98.3000,119530.0000,-1.1000,-0.2000,4658.0000,135.1500,67.2000,-1.9000,-90.0000,59.0000,97.8000,-27.0000,53481.0000,50.7000,-66.0000,-10.8000,,,3.0000,-18.0000,-0.9000,-0.8000,0.5000,16.9300,4.3000,0.1000
20010531,-207.0000,42.7000,-0.5000,-32732.0000,185.1000,11.8000,-42252.0000,-1.4100,165564.0000,2.6000,37.6000,176.4000,3.3000,0.2000,77.5207,,-5.7000,-3.8000,,,99.9000,88454.0000,4897.0000,-3.3000,189796.0000,47.0000,0.5000,,97.8000,121186.0000,-2.1000,-0.2000,4563.0000,135.1642,66.9000,-2.9000,-136.0000,58.0000,98.4000,-280.0000,47543.0000,48.3000,-327.0000,-11.8000,,,3.7300,-19.0000,1.5000,1.6000,3.6000,16.5900,4.4000,0.0000
20010702,-186.0000,41.3000,-0.1000,-31217.0000,185.3000,12.6000,41240.0000,-0.9000,80140.0000,2.5000,41.4000,177.3000,3.6000,0.5000,76.7598,,3.4000,4.4000,,,99.6000,86748.0000,-13711.0000,-2.2000,-27919.0000,37.0000,0.6000,,98.0000,117966.0000,-2.9000,-0.7000,4901.0000,135.1581,66.7000,-3.5000,-141.0000,59.0000,99.5000,-39.0000,31156.0000,49.0000,-76.0000,-7.0000,,,3.9300,-23.0000,0.3000,0.3000,3.7000,16.5600,4.3000,0.5000
20010731,-172.0000,43.2000,-0.2000,-27446.0000,186.0000,8.1000,50631.0000,-1.5300,124852.0000,2.7000,39.3000,177.7000,3.2000,0.2000,76.0661,,-0.8000,-0.8000,,-13.2900,99.4000,87256.0000,3076.0000,2.7000,31862.0000,108.0000,0.4000,,97.6000,114702.0000,-3.6000,-0.6000,4550.0000,135.1402,66.7000,-4.3000,-146.0000,57.0000,97.2000,-130.0000,55299.0000,50.1000,-238.0000,-12.6000,,,2.6000,-15.0000,-0.4000,-0.4000,2.5000,17.1600,4.5000,0.4000
20010831,-168.0000,43.5000,-0.8000,-29140.0000,186.4000,11.2000,2532.0000,-0.8800,205975.0000,2.7000,43.1000,177.4000,2.7000,-0.2000,75.4812,,-3.5000,-2.7000,,-7.9800,99.0000,85035.0000,-3445.0000,-1.9000,2820.0000,48.0000,0.5000,,96.1000,114175.0000,-4.0000,-0.6000,4280.0000,135.1043,66.8000,-4.8000,-133.0000,59.0000,98.5000,-111.0000,33431.0000,48.1000,-159.0000,-18.1000,,,1.3700,-6.0000,-0.1000,-0.3000,2.5000,16.1800,4.6000,-0.8000
20011001,-219.0000,46.3000,-0.7000,-30081.0000,186.7000,5.0000,55277.0000,-0.9700,140019.0000,2.7000,46.8000,177.4000,2.7000,0.0000,75.1466,,0.2000,0.2000,,-12.4800,98.8000,82833.0000,-11494.0000,-1.0000,-79990.0000,33.0000,0.6000,,96.0000,112914.0000,-3.9000,-0.2000,4499.0000,135.0366,66.5000,-4.6000,-150.0000,55.0000,101.5000,-156.0000,26673.0000,46.9000,-189.0000,-8.2000,,,1.9500,-10.0000,0.8000,0.6000,3.1000,16.0600,4.9000,-1.0000
